Number of Steps     Trial Number       Final Position      Time Taken in Milliseconds
             10                1                    2                           0.014
             10                2                    2                           0.017
             10                3                    0                           0.007
             10                4                    2                           0.008
             10                5                   -2                           0.008
             20                1                   -4                           0.014
             20                2                   -2                           0.023
             20                3                   -4                           0.010
             20                4                    4                           0.007
             20                5                   -2                           0.035
             50                1                   -2                           0.023
             50                2                    6                           0.019
             50                3                   -8                           0.013
             50                4                   -6                           0.031
             50                5                   -4                           0.034
            100                1                    4                           0.042
            100                2                    0                           0.050
            100                3                   14                           0.023
            100                4                    4                           0.013
            100                5                  -14                           0.011
